Date,Open,High,Low,Close,Volume,Adj Close
2022-03-22 05:50:00,2902.06,2903.61,2901.72,2902.77,6849.9636,2902.77
2022-03-22 05:51:00,2902.77,2902.77,2901.01,2901.84,4196.2152,2901.84
2022-03-22 05:52:00,2901.84,2905.31,2901.84,2905.31,3700.7399,2905.31
2022-03-22 05:53:00,2905.33,2906.68,2904.03,2906.66,4070.5396,2906.66
2022-03-22 05:54:00,2906.65,2906.65,2904.08,2904.08,3187.6211,2904.08
2022-03-22 05:55:00,2904.71,2907.77,2904,2907.77,3189.3397,2907.77
2022-03-22 05:56:00,2907.76,2907.77,2906.15,2907.77,3059.1428,2907.77
2022-03-22 05:57:00,2907.77,2907.77,2905.72,2905.72,2262.6269,2905.72
2022-03-22 05:58:00,2905.72,2906.36,2904,2904.46,5217.2942,2904.46
2022-03-22 05:59:00,2904.46,2904.96,2904.22,2904.96,4490.9555,2904.96
2022-03-22 06:00:00,2904.96,2906.88,2904.96,2906.75,2223.2664,2906.75
2022-03-22 06:01:00,2906.74,2906.74,2905.4,2905.9,2623.2384,2905.9
2022-03-22 06:02:00,2905.89,2906.7,2905.42,2906.43,3066.1511,2906.43
2022-03-22 06:03:00,2906.43,2906.43,2905.92,2906.3,2190.1602,2906.3
2022-03-22 06:04:00,2906.3,2906.44,2906.28,2906.44,2364.4173,2906.44
2022-03-22 06:05:00,2906.44,2909.48,2906.44,2909.47,2466.011,2909.47
2022-03-22 06:06:00,2909.47,2909.73,2909.47,2909.51,2454.4266,2909.51
2022-03-22 06:07:00,2909.51,2909.97,2907,2907.97,3194.3715,2907.97
2022-03-22 06:08:00,2907.97,2907.98,2907.03,2907.56,5266.6307,2907.56
2022-03-22 06:09:00,2907.57,2908.36,2906.79,2906.79,5719.4463,2906.79
2022-03-22 06:10:00,2906.8,2908,2905.1,2907.99,7100.5539,2907.99
2022-03-22 06:11:00,2908,2909.71,2908,2909.53,12045.7653,2909.53
2022-03-22 06:12:00,2909.53,2912.87,2909.53,2912.87,5949.1181,2912.87
2022-03-22 06:13:00,2912.88,2912.88,2909.83,2909.83,5966.9238,2909.83
2022-03-22 06:14:00,2909.83,2909.99,2908.54,2909.99,2515.5262,2909.99
2022-03-22 06:15:00,2910,2911.24,2910,2910.57,2345.6661,2910.57
2022-03-22 06:16:00,2910.57,2910.63,2910.32,2910.44,2621.2423,2910.44
2022-03-22 06:17:00,2910.43,2910.43,2907.16,2907.16,2838.291,2907.16
2022-03-22 06:18:00,2907.09,2907.88,2906.68,2907.17,2067.1796,2907.17
2022-03-22 06:19:00,2907.16,2908.62,2906.8,2906.94,3617.6292,2906.94
2022-03-22 06:20:00,2907.06,2907.06,2905.56,2906.3,2478.8597,2906.3
2022-03-22 06:21:00,2906.3,2906.3,2905.62,2905.92,3184.7938,2905.92
2022-03-22 06:22:00,2905.91,2906.45,2905.37,2905.38,3916.8986,2905.38
2022-03-22 06:23:00,2905.37,2905.37,2904.33,2904.52,3363.558,2904.52
2022-03-22 06:24:00,2904.53,2905.55,2904,2904.85,2882.6236,2904.85
2022-03-22 06:25:00,2904.89,2905.19,2904.78,2904.79,8568.7957,2904.79
2022-03-22 06:26:00,2904.79,2904.79,2899,2900.31,8851.4206,2900.31
2022-03-22 06:27:00,2900.21,2900.21,2897.95,2897.95,8454.4771,2897.95
2022-03-22 06:28:00,2897.93,2897.93,2893.8,2894.28,3123.141,2894.28
2022-03-22 06:29:00,2894.28,2895.99,2893.33,2894.01,7290.5041,2894.01
2022-03-22 06:30:00,2894,2894,2891.38,2891.38,4919.2257,2891.38
2022-03-22 06:31:00,2891.39,2892.88,2891.39,2892.45,16328.7811,2892.45
2022-03-22 06:32:00,2892.45,2892.61,2891.72,2892.36,11825.9895,2892.36
2022-03-22 06:33:00,2892.58,2894.66,2892.58,2894.66,17500.1599,2894.66
2022-03-22 06:34:00,2894.66,2895.99,2894.66,2895.99,6566.2445,2895.99
2022-03-22 06:35:00,2895.95,2895.95,2893.35,2893.36,9390.3436,2893.36
